label, xcoord, ycoord, zcoord, clust10
452, 13.4604, -48.0693, 11.1337, 2
453, -24.0604, 4.7774, 8.0377, 2
454, -26.2977, 2.0153, -4.4809, 2
455, -18.9764, 12.8425, -3.0551, 2
456, -27.807, -10.6667, 3.9474, 2
457, 15.8997, -56.9027, 11.7227, 2
458, 17.75, -96.5469, -0.75, 2
459, 11.1958, -85.1049, 10.2727, 2
460, 13.4472, -72.2484, 11.4348, 2
461, 16.3404, -79.5562, 3.921, 2
462, 19.4817, -63.1159, 9.811, 2
463, 31.1189, -10.1233, 1.1101, 2
464, 30.6667, 2.866, 5.3196, 2
465, 23.0219, 14.3358, -4.2044, 2
466, 25.5441, 5.3309, 2.2868, 2
467, -4.3925, 49.1698, -17.9321, 2
468, -4.7826, 39.5652, -21.7628, 2
469, -6.7725, 22.1018, -19.2036, 2
470, 9.6471, 24.3235, -21.1324, 2
471, 7.3612, 31.7871, -18.2357, 2
472, 6.6762, 50.9048, -18.7429, 2
473, -45.5229, -14.1699, 12.5033, 2
474, -48.4154, -15.822, 14.4926, 2
475, -48.5714, 0.67347, 13.1327, 2
476, -47.2752, -0.65772, 8.0537, 2
477, 53.1956, -11.2915, 16.679, 2
478, 57.5108, -13.709, 13.8762, 2
479, 49.8038, -6.8453, 11.6075, 2
480, 48.8725, -4.9195, 15.8322, 2
481, 51.5287, 4.2299, 5.4368, 2
482, -5.766, -1.9716, 50.9929, 2
483, -2.6068, 12, 55.2735, 2
484, -6.9796, 12.3755, 66.6449, 2
485, -5.6667, 20.914, 62.0323, 2
486, -4.5523, 17.0544, 47.8494, 2
487, -7.9841, -7.246, 71.3254, 2
488, -5.4444, -15.2302, 56.0952, 2
489, -3.75, -2.1466, 62.7586, 2
490, -8.3378, 2.3733, 69.6533, 2
491, 7.6299, -14.3132, 71.1957, 2
492, 7.9424, 14.0504, 49.9928, 2
493, 12.7323, 14.2047, 64.7874, 2
494, 7.5779, 12.0503, 64, 2
495, 6.018, 9.3604, 59.2973, 2
496, 6.1189, -11.2587, 60.9371, 2
497, 8.0066, -2.4636, 52.0993, 2
498, 9.451, -1.1451, 70.3451, 2
499, 8.6531, -21.4422, 54.8163, 2
500, -54.1365, -46.1847, 30.9558, 2
501, -58.4047, -26.2101, 22.2646, 2
502, -55.7992, -43.1647, 25.51, 2
503, -55.6719, -25.625, 34.2656, 2
504, -56.6694, -34.0245, 32.7347, 2
505, 59.5067, -38.843, 26.8969, 2
506, 61.6585, -24.5122, 22.9106, 2
507, 61.2423, -20.2203, 28.9515, 2
508, 54.3843, -28.0314, 38.8314, 2
509, 56.6691, -44.7584, 31.3606, 2
510, 56.0417, -40.15, 40.4583, 2
511, 58.2008, -32.3264, 30.3515, 2
512, 51.7236, -32.5455, 43.2727, 2
513, -45.3, 0.39091, -38.3182, 2
514, -54.3208, -59.5723, -10.3333, 2
